	Unnamed: 0	date	handle	text	time_stamp	ms_today	ms_tomorrow	normalized_headline
514	514	2019-09-13	@primevideo	"RT @IndieWire: From Producers of ""Bojack Horseman"" comes an imaginative new animated series. Watch #Undone, only on Amazon @PrimeVideo. htt…"	1568405960.0	0	0	rt indiewire: from producers of bojack horseman comes an imaginative new animated series. watch undone, only on amazon primevideo. htt
522	522	2019-09-12	@primevideo	RT @verge: Amazon Video’s animated series Undone could be the start of something amazing https://t.co/uLWyZf74Dw https://t.co/EA9kLxiqqE	1568329631.0	1	0	rt verge: amazon videos animated series undone could be the start of something amazing https:t.coulwyzf74dw https:t.coea9klxiqqe
524	524	2019-09-12	@primevideo	RT @IndieWire: Amazon's #Undone is a genre-bending, time-breaking experiment and an artistic feat. @BenTTravers reviews: https://t.co/LiP7X…	1568321825.0	1	0	rt indiewire: amazon's undone is a genre-bending, time-breaking experiment and an artistic feat. benttravers reviews: https:t.colip7x
525	525	2019-09-12	@primevideo	Take an exclusive look inside #TheGoldfinch movie before it hits theaters tomorrow. Watch the film on Amazon Prime… https://t.co/JZSd3ZEZTi	1568311200.0	1	0	take an exclusive look inside thegoldfinch movie before it hits theaters tomorrow. watch the film on amazon prime https:t.cojzsd3zezti
528	528	2019-09-12	@primevideo	RT @NY_Comic_Con: Amazon @PrimeVideo Takeover Featuring Tom Clancy’s @JackRyanAmazon and @ExpanseOnPrime. Sat, 10.5 • 10:45 AM • Main Stage…	1568307584.0	1	0	rt nycomiccon: amazon primevideo takeover featuring tom clancys jackryanamazon and expanseonprime. sat, 10.5  10:45 am  main stage
547	547	2019-09-10	@primevideo	@FENTYCORP @AmazonFashion So much to love about this.	1568137677.0	0	1	fentycorp amazonfashion so much to love about this.
566	566	2019-09-06	@primevideo	Watch Late Night on Amazon Prime Video: https://t.co/wKJ96gNTN2	1567789321.0	0	0	watch late night on amazon prime video: https:t.cowkj96gntn2
567	567	2019-09-06	@primevideo	When we remember that we can watch @LateNightMovie, an Amazon Original Movie, now. #FilmFriday https://t.co/w9eo8RR6DB	1567789201.0	0	0	when we remember that we can watch latenightmovie, an amazon original movie, now. filmfriday https:t.cow9eo8rr6db
574	574	2019-09-04	@primevideo	"RT @CBSThisMorning: THURSDAY: Actor Orlando Bloom joins us live in studio to discuss his new @Amazon @PrimeVideo series #CarnivalRow. 

📺 7…"	1567639856.0	0	1	rt cbsthismorning: thursday: actor orlando bloom joins us live in studio to discuss his new amazon primevideo series carnivalrow.  7
583	583	2019-09-03	@primevideo	RT @DEADLINE: Amazon has announced a series of 10 stand-up specials featuring Australian comedians to premiere exclusively on Prime Video i…	1567546670.0	1	0	rt deadline: amazon has announced a series of 10 stand-up specials featuring australian comedians to premiere exclusively on prime video i
599	599	2019-08-30	@primevideo	RT @vulture: These are the best movies to stream on Amazon Prime https://t.co/IEdo0TE44Z	1567201883.0	0	0	rt vulture: these are the best movies to stream on amazon prime https:t.coiedo0te44z
605	605	2019-08-29	@primevideo	Soar beyond your limits. The Aeronauts, an Amazon Original Movie arrives in theaters Dec. 6 and Prime Video Dec. 20. https://t.co/ZCaCrL8pnS	1567083674.0	1	0	soar beyond your limits. the aeronauts, an amazon original movie arrives in theaters dec. 6 and prime video dec. 20. https:t.cozcacrl8pns
623	623	2019-08-26	@primevideo	@BoschAmazon Bosch's best friend. 🐶	1566844046.0	1	0	boschamazon bosch's best friend. 
636	636	2019-08-23	@primevideo	She's taking it step by step. Brittany Runs A Marathon, an Amazon Original Movie, is now in select theaters.… https://t.co/VoCQJ4cmSf	1566597600.0	0	0	she's taking it step by step. brittany runs a marathon, an amazon original movie, is now in select theaters. https:t.covocqj4cmsf
651	651	2019-08-22	@primevideo	Truth matters. Introducing The Report, an Amazon Original Movie in theaters Nov. 15 and Prime Video Nov. 29. https://t.co/sad898rVIY	1566478800.0	0	0	truth matters. introducing the report, an amazon original movie in theaters nov. 15 and prime video nov. 29. https:t.cosad898rviy
704	704	2019-08-20	@primevideo	RT @RebelWilson: So excited to announce I’ll be hosting the first Australian Amazon Original Series, LOL: Last One Laughing coming to @Prim…	1566339215.0	0	1	rt rebelwilson: so excited to announce ill be hosting the first australian amazon original series, lol: last one laughing coming to prim
708	708	2019-08-20	@primevideo	RT @TheWrap: Everything New Coming to Amazon Prime Video in September, Including the 'Transparent' Musical Finale https://t.co/5slTl4pyel h…	1566321405.0	0	1	rt thewrap: everything new coming to amazon prime video in september, including the 'transparent' musical finale https:t.co5sltl4pyel h
717	717	2019-08-17	@primevideo	Watch The King of Comedy on Amazon Prime Video: https://t.co/BhnuugKFIe	1566061412.0	0	0	watch the king of comedy on amazon prime video: https:t.cobhnuugkfie
761	761	2019-08-13	@primevideo	For anyone who can’t wait until Christmas, the PBS miniseries starring Maya Hawke is available on Amazon Prime Vide… https://t.co/FnhpTQZ097	1565717227.0	1	0	for anyone who cant wait until christmas, the pbs miniseries starring maya hawke is available on amazon prime vide https:t.cofnhptqz097
781	781	2019-08-10	@primevideo	RT @MeekMill: Here’s the #FreeMeek trailer, out now on @amazon https://t.co/CTNi12HAoy	1565395525.0	0	0	rt meekmill: heres the freemeek trailer, out now on amazon https:t.coctni12haoy
783	783	2019-08-09	@primevideo	RT @IGN: The Boys is one of Amazon’s most-watched shows after just two weeks. https://t.co/4iWhK32LL9 https://t.co/Tvz7eaIqkI	1565379621.0	0	0	rt ign: the boys is one of amazons most-watched shows after just two weeks. https:t.co4iwhk32ll9 https:t.cotvz7eaiqki
787	787	2019-08-09	@primevideo	RT @djkhaled: Check out #FREEMEEK now on Amazon Prime Video. Keep going @MeekMill! https://t.co/ISaEvss1bP	1565374688.0	0	0	rt djkhaled: check out freemeek now on amazon prime video. keep going meekmill https:t.coisaevss1bp
805	805	2019-08-07	@primevideo	RT @DEADLINE: Amazon Studios Strikes Overall Deal With ‘The Witcher’ &amp; ‘Jessica Jones’ Writer Jenny Klein https://t.co/cgAc6TLqfU https://t…	1565219467.0	1	1	rt deadline: amazon studios strikes overall deal with the witcher amp; jessica jones writer jenny klein https:t.cocgac6tlqfu https:t
806	806	2019-08-07	@primevideo	RT @TIME: Here's what's new on Amazon Prime Video in August 2019 https://t.co/ggKvCVS9lw	1565211440.0	1	1	rt time: here's what's new on amazon prime video in august 2019 https:t.coggkvcvs9lw
812	812	2019-08-07	@primevideo	@imdbpro @ErinMoriarty_ @antonystarr @JackQuaid92 @AmazonStudios 👏👏👏	1565201474.0	1	1	imdbpro erinmoriarty antonystarr jackquaid92 amazonstudios 
823	823	2019-08-06	@primevideo	RT @eltonofficial: Remembering this little moment @TaronEgerton and I had back on set... @AmazonMusic, I think you loved both of our versio…	1565108173.0	0	1	rt eltonofficial: remembering this little moment taronegerton and i had back on set amazonmusic, i think you loved both of our versio
824	824	2019-08-06	@primevideo	@SparksMom53 @TheBoysTV @GoodOmensPrime @MaiselTV @ExpanseOnPrime @jackryanamazon @BoschAmazon @HannaOnPrime… https://t.co/KcKT86MOXy	1565052733.0	0	1	sparksmom53 theboystv goodomensprime maiseltv expanseonprime jackryanamazon boschamazon hannaonprime https:t.cokckt86moxy
827	827	2019-08-05	@primevideo	RT @PaulTassi: Amazon’s ‘The Boys’ Is The Best Superhero Show On TV And It Is Not Particularly Close via @forbes https://t.co/Gmj3Pi1FML	1565039708.0	0	0	rt paultassi: amazons the boys is the best superhero show on tv and it is not particularly close via forbes https:t.cogmj3pi1fml
829	829	2019-08-05	@primevideo	RT @Variety: Amazon Boards Simon Pegg, Nick Frost Series ‘Truth Seekers’ (EXCLUSIVE) https://t.co/OBFyhonNvH	1565022991.0	0	0	rt variety: amazon boards simon pegg, nick frost series truth seekers exclusive https:t.coobfyhonnvh
839	839	2019-08-03	@primevideo	RT @BlueCollardNerd: Amazon's #TheBoysTV is Game of Thrones of the modern superhero genre	1564797437.0	0	0	rt bluecollardnerd: amazon's theboystv is game of thrones of the modern superhero genre
840	840	2019-08-03	@primevideo	Alright Amazon Originals fans, where are you sitting? https://t.co/cNA3ASfuov	1564794216.0	0	0	alright amazon originals fans, where are you sitting? https:t.cocna3asfuov
886	886	2019-07-27	@primevideo	"RT @TheWrap: 'Modern Love' Teaser: Anne Hathaway, Tina Fey and John Slattery Find Romance in Amazon Rom-Com Anthology (Video)

#TCA2019 @Pr…"	1564256540.0	0	0	rt thewrap: 'modern love' teaser: anne hathaway, tina fey and john slattery find romance in amazon rom-com anthology videotca2019 pr
890	0	2019-09-13	@TechCrunch	Amazon tests a one-tap review system for product feedback https://t.co/w3MZAC6RvS by @sarahintampa https://t.co/Q9d5qrHIZ0	1568400271.0	0	0	amazon tests a one-tap review system for product feedback https:t.cow3mzac6rvs by sarahintampa https:t.coq9d5qrhiz0
891	1	2019-09-13	@TechCrunch	Amazon tests a one-tap review system for product feedback https://t.co/w3MZAC6RvS by @sarahintampa https://t.co/Q9d5qrHIZ0	1568400271.0	0	0	amazon tests a one-tap review system for product feedback https:t.cow3mzac6rvs by sarahintampa https:t.coq9d5qrhiz0
892	2	2019-09-12	@TechCrunch	Amazon’s crowdsourced Q&amp;A community Alexa Answers goes live for all https://t.co/j35bQbNOUG by @sarahintampa https://t.co/3L6Q8drtpe	1568300983.0	1	0	amazons crowdsourced qamp;a community alexa answers goes live for all https:t.coj35bqbnoug by sarahintampa https:t.co3l6q8drtpe
893	3	2019-09-11	@TechCrunch	ScyllaDB takes on Amazon with new DynamoDB migration tool https://t.co/3t1DLszj9G by @ron_miller https://t.co/zVAp8R44ap	1568204791.0	1	1	scylladb takes on amazon with new dynamodb migration tool https:t.co3t1dlszj9g by ronmiller https:t.cozvap8r44ap
894	4	2019-09-09	@TechCrunch	Drivetime nabs $11M from Makers Fund, Amazon and Google to build voice-based games for drivers… https://t.co/fPnKQW5cZm	1568033666.0	0	0	drivetime nabs 11m from makers fund, amazon and google to build voice-based games for drivers https:t.cofpnkqw5czm
895	5	2019-09-09	@TechCrunch	American tariffs are having a bigger impact on U.S.-based Amazon vendors than their competitors in China, according… https://t.co/6AAzmoarjd	1568012163.0	0	0	american tariffs are having a bigger impact on u.s.-based amazon vendors than their competitors in china, according https:t.co6aazmoarjd
896	6	2019-09-07	@TechCrunch	Original Content podcast: Amazon’s ‘Carnival Row’ mixes fairies, politics and murder https://t.co/gV8s8kPXKm by… https://t.co/QTcfudobw9	1567879214.0	0	0	original content podcast: amazons carnival row mixes fairies, politics and murder https:t.cogv8s8kpxkm by https:t.coqtcfudobw9
897	7	2019-09-06	@TechCrunch	U.S. Senator demands answers from Amazon Ring over its police partnerships https://t.co/3Za64Op6E9 by @sarahintampa https://t.co/zFxiMsvKQo	1567785890.0	0	0	u.s. senator demands answers from amazon ring over its police partnerships https:t.co3za64op6e9 by sarahintampa https:t.cozfximsvkqo
898	8	2019-09-12	@CNET	Amazon, Facebook, Apple, Google, and Microsoft skip out on a letter asking the Senate to enact stronger gun laws https://t.co/q1CsgcqCo9	1568322907.0	1	0	amazon, facebook, apple, google, and microsoft skip out on a letter asking the senate to enact stronger gun laws https:t.coq1csgcqco9
899	9	2019-09-12	@CNET	RT @benfoxrubin: Amazon just sent out invites for a devices and services event for Wednesday, Sept. 25.	1568301943.0	1	0	rt benfoxrubin: amazon just sent out invites for a devices and services event for wednesday, sept. 25.
